順位(プライム内),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,6,167A,リョーサン菱洋ホールディングス(株),東証PRM,"2,736",-364,-11.74,"1,728,200",04/03
2,10,6330,東洋エンジニアリング(株),東証PRM,"2,319",-251,-9.77,"8,149,500",04/03
3,17,4082,第一稀元素化学工業(株),東証PRM,"2,082",-159,-7.1,"1,568,600",04/03
4,18,6620,宮越ホールディングス(株),東証PRM,657,-48,-6.81,"183,700",04/03
5,23,3415,(株)ＴＯＫＹＯ　ＢＡＳＥ,東証PRM,400,-26,-6.1,"1,551,400",04/03
6,26,3681,(株)ブイキューブ,東証PRM,47,-3,-6.0,"1,301,100",04/03
7,27,4112,保土谷化学工業(株),東証PRM,"2,317",-146,-5.93,"155,200",04/03
8,34,9843,(株)ニトリホールディングス,東証PRM,"2,379",-128.5,-5.12,"8,309,100",04/03
9,36,4446,Ｌｉｎｋ－Ｕグループ(株),東証PRM,760,-40,-5.0,"137,200",04/03
10,41,4519,中外製薬(株),東証PRM,"8,779",-419,-4.56,"2,330,600",04/03
11,87,2503,キリンホールディングス(株),東証PRM,"2,540",-76.5,-2.92,"4,083,400",04/03
12,91,3480,(株)ジェイ・エス・ビー,東証PRM,"4,975",-145,-2.83,"112,100",04/03
13,95,547A,ムニノバホールディングス(株),東証PRM,422,-12,-2.76,"2,336,100",04/03
14,97,6254,野村マイクロ・サイエンス(株),東証PRM,"3,135",-85,-2.64,"720,400",04/03
15,112,6560,(株)エル・ティー・エス,東証PRM,"1,614",-41,-2.48,"39,000",04/03
16,142,8276,(株)平和堂,東証PRM,"2,907",-62,-2.09,"181,800",04/03
17,149,3431,宮地エンジニアリンググループ(株),東証PRM,"1,736",-36,-2.03,"166,000",04/03
18,160,1433,ベステラ(株),東証PRM,"1,175",-23,-1.92,"92,700",04/03
19,173,2585,(株)ライフドリンクカンパニー,東証PRM,"1,400",-26,-1.82,"1,653,400",04/03
20,174,4534,持田製薬(株),東証PRM,"3,515",-65,-1.82,"108,200",04/03
21,180,4043,(株)トクヤマ,東証PRM,"3,710",-67,-1.77,"663,700",04/03
22,183,3349,(株)コスモス薬品,東証PRM,"6,657",-119,-1.76,"367,900",04/03
23,187,8079,正栄食品工業(株),東証PRM,"4,220",-75,-1.75,"95,900",04/03
24,202,8338,(株)筑波銀行,東証PRM,588,-10,-1.67,"1,250,200",04/03
25,203,6745,ホーチキ(株),東証PRM,"2,079",-35,-1.66,"202,500",04/03
26,208,4912,ライオン(株),東証PRM,"1,656.5",-27,-1.6,"994,100",04/03
27,221,4396,(株)システムサポートホールディングス,東証PRM,"1,083",-17,-1.55,"43,400",04/03
28,222,6167,冨士ダイス(株),東証PRM,"1,077",-17,-1.55,"113,300",04/03
29,234,5901,東洋製罐グループホールディングス(株),東証PRM,"3,468",-53,-1.51,"400,700",04/03
30,237,7269,スズキ(株),東証PRM,"1,832.5",-28,-1.5,"9,691,700",04/03
31,238,9766,コナミグループ(株),東証PRM,"19,100",-290,-1.5,"289,800",04/03
32,241,4502,武田薬品工業(株),東証PRM,"5,802",-88,-1.49,"2,269,900",04/03
33,248,7600,(株)日本エム・ディ・エム,東証PRM,545,-8,-1.45,"89,100",04/03
34,252,8393,(株)宮崎銀行,東証PRM,"1,844",-27,-1.44,"256,300",04/03
35,253,3179,シュッピン(株),東証PRM,"1,102",-16,-1.43,"180,700",04/03
36,256,8392,(株)大分銀行,東証PRM,"1,873",-27,-1.42,"198,200",04/03
37,261,2607,不二製油(株),東証PRM,"3,570",-50,-1.38,"300,100",04/03
38,262,2676,高千穂交易(株),東証PRM,"2,003",-28,-1.38,"35,000",04/03
39,269,9107,川崎汽船(株),東証PRM,"2,698",-37.5,-1.37,"6,485,200",04/03
40,272,3963,(株)シンクロ・フード,東証PRM,438,-6,-1.35,"97,400",04/03
41,274,3561,(株)力の源ホールディングス,東証PRM,"1,469",-20,-1.34,"62,100",04/03
42,282,8624,いちよし証券(株),東証PRM,"1,492",-20,-1.32,"118,300",04/03
43,283,9024,(株)西武ホールディングス,東証PRM,"4,500",-60,-1.32,"566,900",04/03
44,288,8550,(株)栃木銀行,東証PRM,902,-12,-1.31,"613,300",04/03
45,309,8111,(株)ゴールドウイン,東証PRM,"2,194",-28,-1.26,"335,800",04/03
46,317,6140,旭ダイヤモンド工業(株),東証PRM,"1,203",-15,-1.23,"987,700",04/03
47,326,2060,フィード・ワン(株),東証PRM,"1,170",-14,-1.18,"77,300",04/03
48,327,4151,協和キリン(株),東証PRM,"2,600.5",-31,-1.18,"1,234,700",04/03
49,328,545A,(株)トランヴィア,東証PRM,921,-11,-1.18,"285,300",04/03
50,337,3151,(株)バイタルケーエスケー・ホールディングス,東証PRM,"1,467",-17,-1.15,"47,800",04/03
51,340,9022,東海旅客鉄道(株),東証PRM,"4,142",-48,-1.15,"1,661,300",04/03
52,342,5445,東京鐵鋼(株),東証PRM,"2,000",-23,-1.14,"144,600",04/03
53,343,8366,(株)滋賀銀行,東証PRM,"1,901",-22,-1.14,"584,500",04/03
54,346,6277,ホソカワミクロン(株),東証PRM,"6,130",-70,-1.13,"16,800",04/03
55,355,6460,セガサミーホールディングス(株),東証PRM,"2,454",-27.5,-1.11,"359,000",04/03
56,364,1928,積水ハウス(株),東証PRM,"3,560",-39,-1.08,"1,345,000",04/03
57,365,6027,弁護士ドットコム(株),東証PRM,"2,835",-31,-1.08,"109,000",04/03
58,366,6740,(株)ジャパンディスプレイ,東証PRM,92,-1,-1.08,"148,211,400",04/03
59,367,1808,(株)長谷工コーポレーション,東証PRM,"2,901.5",-31.5,-1.07,"668,100",04/03
60,370,9900,(株)サガミホールディングス,東証PRM,"1,848",-20,-1.07,"53,700",04/03
61,372,6184,(株)鎌倉新書,東証PRM,466,-5,-1.06,"109,500",04/03
62,375,2413,エムスリー(株),東証PRM,"1,624.5",-17,-1.04,"2,493,300",04/03
63,377,1898,世紀東急工業(株),東証PRM,"1,532",-16,-1.03,"78,500",04/03
64,382,5726,(株)大阪チタニウムテクノロジーズ,東証PRM,"2,702",-28,-1.03,"1,040,700",04/03
65,384,4552,ＪＣＲファーマ(株),東証PRM,580,-6,-1.02,"363,200",04/03
