順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,3237,(株)イントランス,東証GRT,63,-11,-14.86,"2,547,600",
2,2,3856,Ａｂａｌａｎｃｅ(株),東証STD,573,-100,-14.86,"41,800",
3,3,5134,(株)ＰＯＰＥＲ,東証GRT,543,-84,-13.4,"101,800",
4,4,2195,アミタホールディングス(株),東証GRT,490,-71,-12.66,"2,712,500",
5,5,538A,NZAM 上場投信 米国国債7-10年(H無),東証ETF,"5,105",-695,-11.98,270,
6,6,6597,ＨＰＣシステムズ(株),東証GRT,"2,646",-354,-11.8,"1,530,200",
7,7,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),東証GRT,"4,215",-495,-10.51,"690,300",
8,8,281A,インフォメティス(株),東証GRT,535,-60,-10.08,"6,037,000",
9,9,153A,(株)カウリス,東証GRT,"1,272",-137,-9.72,"190,900",
10,10,9259,(株)タカヨシホールディングス,東証GRT,"1,009",-105,-9.43,"68,500",
11,11,9115,明海グループ(株),東証STD,"1,232",-120,-8.88,"256,900",
12,12,9159,(株)Ｗ　ＴＯＫＹＯ,東証GRT,"2,109",-181,-7.9,"161,500",
13,13,6085,アーキテクツ・スタジオ・ジャパン(株),東証GRT,"2,429",-194,-7.4,"277,800",
14,14,4593,(株)ヘリオス,東証GRT,344,-27,-7.28,"4,930,600",
15,15,543A,ＡＲＣＨＩＯＮ(株),東証PRM,441,-34,-7.16,"19,651,600",
16,16,4883,(株)モダリス,東証GRT,54,-4,-6.9,"1,771,500",
17,17,542A,(株)ビタブリッドジャパン,東証GRT,"1,105",-79,-6.67,"336,000",
18,18,5985,サンコール(株),東証STD,"1,320",-88,-6.25,"1,207,400",
19,19,6264,(株)マルマエ,東証PRM,"1,425",-94,-6.19,"851,400",
20,20,6146,(株)ディスコ,東証PRM,"62,860","-4,120",-6.15,"2,961,700",
21,21,6521,(株)オキサイド,東証GRT,"4,305",-280,-6.11,"427,900",
22,22,7771,日本精密(株),東証STD,363,-23,-5.96,"485,700",
23,23,6231,木村工機(株),東証STD,"12,600",-780,-5.83,"13,400",
24,24,4075,ブレインズテクノロジー(株),東証GRT,"1,251",-77,-5.8,"145,300",
25,25,2467,(株)ＶＬＣセキュリティ,名証NXT,147,-9,-5.77,"118,700",
26,26,6278,ユニオンツール(株),東証PRM,"13,750",-810,-5.56,"549,200",
27,27,6619,ダブル・スコープ(株),東証PRM,242,-14,-5.47,"3,990,300",
28,28,4031,片倉コープアグリ(株),東証STD,"1,390",-80,-5.44,"647,600",
29,29,6444,サンデン(株),東証STD,161,-9,-5.29,"189,200",
30,30,7717,(株)ブイ・テクノロジー,東証PRM,"4,305",-235,-5.18,"377,200",
31,31,3077,ホリイフードサービス(株),東証STD,789,-43,-5.17,"187,500",
32,32,350A,デジタルグリッド(株),東証GRT,777,-42,-5.13,"557,000",
