順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,194A,(株)ＷＯＬＶＥＳ　ＨＡＮＤ,東証GRT,"1,900",+400,26.67,"224,800",2026/08/13
2,2,7363,(株)ベビーカレンダー,東証GRT,"1,570",+300,23.62,"23,700",2026/08/13
3,3,3103,ユニチカ(株),東証STD,"1,350",+248,22.5,"30,099,300",2026/08/13
4,4,146A,コロンビア・ワークス(株),東証STD,"4,005",+700,21.18,"126,600",2026/08/13
5,5,2323,(株)ｆｏｎｆｕｎ,東証STD,348,+58,20.0,"1,255,100",2026/08/13
6,6,3895,ハビックス(株),東証STD,489,+80,19.56,"943,200",2026/08/13
7,7,6027,弁護士ドットコム(株),東証PRM,"3,150",+500,18.87,"948,000",2026/08/13
8,8,4255,ＴＨＥＣＯＯ(株),東証GRT,"3,200",+501,18.56,"10,900",2026/08/13
9,9,7694,(株)いつも,東証GRT,528,+80,17.86,"55,500",2026/08/13
10,10,4588,オンコリスバイオファーマ(株),東証GRT,"3,370",+500,17.42,"2,722,800",2026/08/13
11,11,6862,ミナトホールディングス(株),東証STD,"3,450",+502,17.03,"22,000",2026/08/13
12,12,584A,ＬｉＮＫＸ(株),東証GRT,"2,730",+380,16.17,"500,500",2026/08/13
13,13,3277,(株)サンセイランディック,東証STD,871,+121,16.13,"324,800",2026/08/13
14,14,6340,澁谷工業(株),東証PRM,"5,110",+700,15.87,"753,700",2026/08/13
15,15,3551,ダイニック(株),東証STD,"1,585",+204,14.77,"219,900",2026/08/13
16,16,7359,(株)東京通信グループ,東証GRT,259,+33,14.6,"1,870,300",2026/08/13
17,17,7059,(株)コプロ・ホールディングス,東証PRM,928,+114,14.0,"1,036,900",2026/08/13
18,18,4169,ＥＮＥＣＨＡＮＧＥ(株),東証GRT,313,+37,13.41,"5,403,300",2026/08/13
19,19,5951,ダイニチ工業(株),東証STD,"1,226",+145,13.41,"93,200",2026/08/13
20,20,2342,(株)トランスジェニックグループ,東証STD,259,+28,12.12,"1,838,800",2026/08/13
21,21,6287,(株)サトー,東証PRM,"2,920",+315,12.09,"585,100",2026/08/13
22,22,4222,児玉化学工業(株),東証STD,692,+71,11.43,"3,549,200",2026/08/13
23,23,7911,ＴＯＰＰＡＮホールディングス(株),東証PRM,"5,448",+530,10.78,"6,773,100",2026/08/13
24,24,6779,日本電波工業(株),東証PRM,"3,165",+305,10.66,"1,373,800",2026/08/13
25,25,6276,シリウスビジョン(株),東証STD,356,+34,10.56,"129,600",2026/08/13
26,26,4396,(株)システムサポートホールディングス,東証PRM,"1,401",+133,10.49,"350,400",2026/08/13
27,27,2489,(株)アドウェイズ,東証STD,386,+36,10.29,"2,511,400",2026/08/13
28,28,6981,(株)村田製作所,東証PRM,"8,311",+773,10.25,"39,681,100",2026/08/13
29,29,6330,東洋エンジニアリング(株),東証PRM,"2,500",+230,10.13,"5,166,200",2026/08/13
30,30,6969,松尾電機(株),東証STD,"1,055",+96,10.01,"504,700",2026/08/13
31,31,4593,(株)ヘリオス,東証GRT,279,+25,9.84,"4,350,500",2026/08/13
32,32,5870,(株)ナルネットコミュニケーションズ,東証GRT,905,+80,9.7,"122,900",2026/08/13
